,,,,,,,,,altitude,,habitat,habit (perennial herbs = 1),"rhizome character (stout, terete = 1; stout, terete, thick/woody = 2; stout, terete, bulged below tip = 3)",rhizome shape (tuberous = 1; fusiform = 2; tuberous-fusiform = 3,rhizome length (cm),rhizome branching,stem number,stem length (average cm),stem texture (glabrous = 1),internode distance (base mm),internode distance (central mm),internode distance (tip mm),leaf basal diatance (cm),petiole length(mm),leaf angle (degree) (<30 = 1; 30--35 = 2; >35 = 3),basal (min -max),central (min - max),tip (min - max),total leaf count,base,central ,tip,total,base,central,tip,base,central,tip,base,central,tip,Leaf curvature (straight = 1; slightly falcate = 2; straight to falcate = 3),leaf margin taper (lanceolate = 1; elliptic = 2; oblanceolate = 3; parallel = 4; lanceolate-elliptic = 5; lanceolate-parallel  = 6; oblanceolate-parallel = 7; elliptic-oblong = 8),"margin colour (dark green = 1; dark green, coloured at tip = 2)",margin width upto  from base(narrower = 1;equal = 2; broader = 3; broader to narrower = 4),base,centre,tip,margin (entire = 1; slightly revolute = 2),leaf base (cuneate = 1; rounded = 2; cuneate to rounded = 3),leaf base symmetry (yes = 1),leaf apex symmetry (yes = 1),leaf apex shape (acute = 1; obtuse = 2; acute to obtuse = 3),Leaf arrangement (alternate = 1; alternate to nearly opposite = 2; alternate to opposite and/or whorled = 3),leaf texture (medium = 1),leaf edges (flat = 1; incurving = 2),abaxial surface texture (glabrous = 1; light glabrous = 2; dark glabrous = 3),adaxial surface texture (glabrous = 1; light glabrous = 2; dark glabrous = 3),mid rib colour with leaf (same = 1; different = 2),leaf mid rib appearance (abaxial)  (level = 1; elevated = 2),leaf mid rib appearance (adaxial)  (level = 1; sunken = 2),number of lateral veins (pairs)  (4--6 pairs = 1),"flower number (<20 = 1, 20-30 = 2, >30 = 3)",bract number (6 no. = 1; 6--8 no. = 2; 8 no. = 3),bract margin (entire = 1),length in mm (min - max),width in mm (min - max),ratio (length/width average),colour (red = 1; purplish red = 2; pinkish red = 3; yellow = 4),cylindric diameter (mm),length (cm),texture (glabrous = 1),number  5,shape (ovate = 1; oblong = 2; ovate-oblong = 3; ),colour (white = 1; purplish white = 2; pinkish white = 3; yellowish white = 4; yellow = 5),length (mm),breadth (mm),Length and Width ratio,apex (round =1),veins (reticulate veins = 1; purplish red reticulate veins = 2),period (months),period
Sichuan,CVH,SM SM713100200,264,1979,19790529," siteJinchuan City Guan, Aba Tibetan Autonomous Prefecture, Sichuan",,,2300,NA,NA,1,1,1,20,yes,15,23,1,3,2,1,1,0.8,2,12,16,20,48,3.13,4.17,5.22,12.52,12,20,16,2,3,2,6,6.67,8,1,1,1,4,1.2,1.5,1.2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,11,2,5.50,4,1,1,1,5,3,1,2,1,2.00,1,1,5,May
Sichuan,CVH,SM SM713100201,369,1979,19790610,Sichuan Aba Tibetan Autonomous Prefecture Jinchuan Guanyin Bridge District 1,,,3300,Grassy land,Grassy land,1,1,1,20,yes,16,20,1,3,3,1,0.8,0.8,1,12,14,18,44,3.60,4.20,5.40,13.20,9,15,13,3,4,3,3,3.75,4.33,1,1,1,4,1.8,2,1.8,1,1,1,1,1,2,1,1,2,1,1,1,1,1,1,1,1,12,3,4.00,4,1,0.9,1,5,3,4,2,1,2.00,1,1,6,June
Sichuan,CVH,SM SM713100189,60-5001,1960,19600725,"Behind the Post Office of Qianning, Ganzi Tibetan Autonomous Prefecture, Sichuan Province",,,3500,On the hill,On the hill,1,NA,NA,NA,NA,3,30,1,3,2,1,1.5,1,1,16,20,24,60,3.20,4.00,4.80,12.00,10,15,12,2.5,4.5,3,4,3.33,4,1,1,1,4,2,2.2,2,1,1,1,1,1,2,1,1,2,1,1,1,1,1,1,1,1,9,1.2,7.50,4,0.8,0.8,1,5,3,1,2,1,2.00,1,1,7,July
Sichuan,CVH,SM SM713100257,882,1979,19790611,"Dechang Lushan, Liangshan Autonomous Prefecture, Sichuan",,,3500,NA,NA,1,1,1,11,yes,10,17,1,3,1,1,3,1,1,8,10,12,30,2.82,3.53,4.24,10.59,8,12,18,4,6,6.5,2,2,2.77,1,2,1,4,2.8,3,2.8,1,1,1,1,1,2,1,1,2,1,1,1,1,1,2,1,1,10,4.5,2.22,4,0.8,1,1,5,3,5,2,1,2.00,1,1,6,June
Sichuan,CVH,SM SM713100258,882,1979,19790611,"Dechang Lushan, Liangshan Autonomous Prefecture, Sichuan",,,3500,NA,NA,1,1,1,11,yes,10,17,1,3,1,1,3,1,1,8,10,12,30,2.82,3.53,4.24,10.59,8,12,18,4,6,6.5,2,2,2.77,1,2,1,4,2.8,3,2.8,1,1,1,1,1,2,1,1,2,1,1,1,1,1,2,1,1,10,4.5,2.22,4,0.8,1,1,5,3,5,2,1,2.00,1,1,6,June
Sichuan,CVH,PE 01059631,Anonymous 6028,NA,,"Sichuan, China",,,NA,NA,NA,1,NA,NA,NA,NA,8,36,1,3,3,2,2.5,1,1,14,18,22,54,2.33,3.00,3.67,9.00,16,22,19,2,3,2,8,7.33,9.5,1,3,1,3,0.9,1.2,1.2,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,10,1.5,6.67,4,0.8,0.8,1,5,3,5,1.8,0.8,2.25,1,1,NA,NA
Sichuan,CVH,PE 01059374,Anonymous 7079,NA,,"Sichuan, China",,,NA,NA,NA,1,NA,NA,NA,NA,5,33,1,3,2,2,2,1,1,14,16,18,48,2.55,2.91,3.27,8.73,16,20,16,3.2,5,3.2,5,4,5,2,3,1,3,1.5,2,2,1,1,1,1,1,1,1,1,2,1,1,1,1,1,2,1,1,15,2.8,5.36,NA,0.8,0.8,1,5,3,NA,1.8,1,1.80,1,1,NA,NA
Sichuan,CVH,PE 01059368,Y.C.Yang 3699,NA,,"Sichuan, China",,,NA,NA,NA,1,NA,NA,NA,NA,6,35,1,3,3,2,3,1,2,22,24,26,72,3.77,4.11,4.46,12.34,15,20,15,5,6,5,3,3.33,3,1,7,1,3,2.8,3.2,3.2,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,12,3.5,3.43,NA,0.8,1,1,5,3,NA,2,1,2.00,1,1,8,August
Sichuan,CVH,PE 01059367,Y.C.Yang 3874,NA,,"Sichuan, China",,,NA,NA,NA,1,NA,NA,NA,NA,5,20,1,2,1,1,1,1,2,14,16,18,48,4.20,4.80,5.40,14.40,18,25,20,3.5,5,4,5.14,5,5,1,7,1,2,2.5,2.5,2.5,1,1,1,1,1,1,1,1,2,1,2,1,1,1,2,3,1,12,3,4.00,NA,1,1,1,5,3,NA,2,1,2.00,1,1,8,August
Sichuan,CVH,SM SM713100212,??? 78-0612,1978,19780704,"Baoxing Commune, Ya'an District, Sichuan",,,NA,NA,NA,1,NA,NA,NA,NA,NA,35,1,3,3,2,3,1,2,16,20,22,58,2.74,3.43,3.77,9.94,15,20,18,5,7,6,3,2.86,3,1,1,1,4,3,3.5,3,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,3,1,12,3.5,3.43,2,1,1,1,5,3,1,2,1,2.00,1,1,7,July
Sichuan,CVH,SM SM713100204,??????????? 5235,1958,19580619,"Sichuan Aba Tibetan Autonomous Prefecture, Li County, Miaro District, opposite the hill",,,2720,NA,NA,1,1,1,12,yes,7,30,1,3,2,2,1.5,1,2,24,26,28,78,4.80,5.20,5.60,15.60,16,22,18,3.5,5.5,4.5,4.57,4,4,1,1,1,4,2.2,2.8,2.2,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,11,2,5.50,1,1,1,1,5,3,1,2,1,2.00,1,1,6,June
Sichuan,CVH,KUN 0469418,??? 1214,1959,1959,China,,,NA,NA,NA,1,1,1,30,yes,7,31.5,1,3,2,2,3.8,1,1,18,20,18,56,3.43,3.81,3.43,10.67,14,22,23,4,7,7,3.5,3.14,3.29,1,1,1,4,2.8,3.5,2.5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,14,4,3.50,4,1,0.8,1,5,3,5,2,1,2.00,1,1,NA,NA
Sichuan,CVH,KUN 0469422,??? 63,1959,1959,China,,,NA,NA,NA,1,NA,NA,NA,yes,11,23,1,3,2,1,1,0.8,1,16,18,16,50,4.17,4.70,4.17,13.04,14,18,18,3,4,4,4.67,4.5,4.5,1,1,1,4,1.5,2,1.5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,10,2.2,4.55,NA,0.8,0.8,1,5,3,NA,1.5,0.8,1.88,1,1,NA,NA
Sichuan,CVH,SM SM713100173,???????58? 00876,1959,19590611,"Tianquan Nalangshan, Ya'an, Sichuan",,,2900,"Next to Yangpo Highway
","Next to Yangpo Highway
",1,NA,NA,NA,NA,2,31,1,2,2,1,1,0.8,1,30,34,38,102,5.81,6.58,7.35,19.74,14,22,18,3,5,3.5,4.67,4.4,5.14,1,1,1,3,1.5,2,2.5,1,1,1,1,1,1,1,1,2,1,1,1,1,1,2,1,1,12,2.5,4.80,4,1,1,1,5,3,5,2.5,1.2,2.08,1,1,6,June
Sichuan,CVH,KUN 0469415,??? 4246,1951,7/6/1951,China,,,NA,"On the cliff slope
","On the cliff slope
",1,NA,NA,NA,NA,3,32,1,3,3,1,2.5,1,1,19,19,19,57,3.56,3.56,3.56,10.69,14,19,20,6,7,6,2.33,2.71,3.33,1,1,1,4,2.5,3,2.5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,12,3.5,3.43,1,1,0.8,1,5,3,1,2.5,1.5,1.67,1,1,7,July
Sichuan,CVH,SM SM713100270,??????? 66-39,1966,19660617,"Sichuan, Liangshan Yi Autonomous Prefecture, muli, a district of the water Luo township near the",,,NA,On the lawn,On the lawn,1,1,2,30,yes,8,30,1,3,2,2,3,1,2,12,14,18,44,2.40,2.80,3.60,8.80,12,18,15,4,5.5,5,3,3.27,3,1,1,1,3,2.2,3,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,10,4,2.50,4,0.8,0.8,1,5,3,5,1.8,0.8,2.25,1,1,6,June
Sichuan,CVH,SM SM713100188,??????????? ??64-15,1964,19640719,"Pingba near Qianning Zhongdrum Society, Ganzi Tibetan Autonomous Prefecture, Sichuan Province",,,3400,Hillside grass yyang,Hillside grass yyang,1,1,2,15,yes,12,30,1,3,2,2,3,1,1,16,20,22,58,3.20,4.00,4.40,11.60,12,18,14,3,3.5,2.5,4,5.14,5.6,1,1,1,2,1.5,1.5,1.5,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,8,1.2,6.67,4,1,0.8,1,5,3,1,2,1,2.00,1,1,7,July
Sichuan,CVH,SM SM713100190,??????????? ??64-15,1964,19640719,"Pingba near Qianning Zhongdrum Society, Ganzi Tibetan Autonomous Prefecture, Sichuan Province",,,3400,Hillside grass yyang,Hillside grass yyang,1,1,2,15,yes,12,30,1,3,2,2,3,1,1,16,20,22,58,3.20,4.00,4.40,11.60,12,18,14,3,3.5,2.5,4,5.14,5.6,1,1,1,4,1.5,1.5,1.5,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,8,1.2,6.67,4,1,0.8,1,5,3,1,2,1,2.00,1,1,7,July
Sichuan,CVH,SM SM713100181,??? 0043,1979,19790523,Sichuan Ganzi Tibetan Autonomous Prefecture Deg-Tong Commune Production Team,,,3000,"Xiangyang Meadows, Roadside","Xiangyang Meadows, Roadside",1,NA,NA,NA,NA,12,45,1,3,3,2,3,1,2,18,22,24,64,2.40,2.93,3.20,8.53,15,26,23,4,6,5,3.75,4.33,4.6,1,6,1,2,3,3,3,1,1,1,1,1,1,1,1,2,1,2,1,1,1,2,1,1,20,5,4.00,2,1,1,1,5,3,1,2,1.1,1.82,1,1,5,May
Sichuan,CVH,KUN 0469420,??? 1050,1959,5/7/1959,"Lama Temple, China",,,3100,Flat slope,Flat slope,1,1,2,20,yes,9,28,1,3,3,2,2,1,2,15,17,15,47,3.21,3.64,3.21,10.07,13,18,18,3.5,4,3.5,3.71,4.5,5.14,1,1,1,4,1.7,2,1.5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,12,3-4,0.00,1,1.2,1,1,5,3,1,2.5,1.2,2.08,1,1,5,May
Sichuan,CVH,SM SM713100251,??? 0063,1978,19780327,"Sichuan Liangshan Yi Autonomous Prefecture will be east, Tongjin Leap ing-leaping commune fork river brigade",,,2300,"Hillsides, meadows","Hillsides, meadows",1,1,2,17,yes,6,25,1,3,2,1,1.5,1,1,16,18,22,56,3.84,4.32,5.28,13.44,14,22,20,3,4,4,4.67,5.5,5,1,6,1,2,2,2,2,1,1,1,1,1,1,1,1,1,1,2,1,1,1,2,1,1,12,2.5,4.80,4,1,1,1,5,3,5,2,1,2.00,1,1,3,Mar
Sichuan,CVH,SM SM713100252,??? 0063,1978,19780327,"Sichuan Liangshan Yi Autonomous Prefecture will be east, Tongjin Leap ing-leaping commune fork river brigade",,,2300,"Hillsides, meadows","Hillsides, meadows",1,1,2,17,yes,6,25,1,3,2,1,1.5,1,1,16,18,22,56,3.84,4.32,5.28,13.44,14,22,20,3,4,4,4.67,5.5,5,1,6,1,2,2,2,2,1,1,1,1,1,1,1,1,1,1,2,1,1,1,2,1,1,12,2.5,4.80,4,1,1,1,5,3,5,2,1,2.00,1,1,3,Mar
Sichuan,CVH,KUN 0469453,?? 5011,1961,5/26/1961,"Liqiu River, China",,,2880,Roadside,Roadside,1,NA,NA,NA,yes,7,26,1,3,3,3,2,1,2,24,26,26,76,5.54,6.00,6.00,17.54,20,24,22,3,3.5,3.1,6.67,6.86,7.1,2,7,1,3,1.2,1.5,1.5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,3,1,15,2,7.50,1,1,1,1,5,3,1,2.2,1.2,1.83,1,1,5,May
Sichuan,CVH,KUN 0469416,?? 7150,1961,5/30/1961,China,,,NA,NA,NA,1,NA,NA,NA,yes,7,38,1,3,2,2,3.5,1,2,19,21,21,61,3.00,3.32,3.32,9.63,18.5,23.5,22,5.5,6,5.5,3.36,3.92,4,1,1,1,4,2.5,2.8,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,12,4,3.00,1,1.2,1,1,5,3,1,2.5,1.5,1.67,1,1,5,May
Sichuan,CVH,KUN 0469417,?? 9229,1961,7/8/1961,China,,,NA,NA,NA,1,NA,NA,NA,yes,6,23,1,3,3,2,3,1,2,13,11,13,37,3.39,2.87,3.39,9.65,11,18,16,4,5.5,5,2.75,3.27,3.2,1,1,1,1,3,3,2.5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,12,3.5,3.43,1,1.1,1,1,5,3,1,2,1,2.00,1,1,7,July
Sichuan,CVH,KUN 0469455,?????? 909,1959,"1959/06/11
","Li county, Sichuan",,,2800,Sunny slopes,Sunny slopes,1,NA,NA,NA,yes,12,27,1,3,3,3,1.5,1,2,14,16,16,46,3.11,3.56,3.56,10.22,18,20,18,4.5,5.5,5,4,3.64,3.6,1,1,1,4,2,2.2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,11,3.5,3.14,NA,1,1,1,5,3,NA,2,1,2.00,1,1,6,June
Sichuan,CVH,SM SM713100157,??? 0059,1980,19800529,Sichuan Ganzi Tibetan Autonomous Prefecture Kowloon Sanyanlong Commune Bogang Brigade,,,2500,Hillside,Hillside,1,NA,NA,NA,NA,12,30,1,3,2,1,2,1,2,26,28,30,84,5.20,5.60,6.00,16.80,15,22,18,2,2.8,2,7.5,7.86,9,1,1,1,4,1.2,1.4,1.2,1,1,1,1,1,1,1,1,2,1,1,1,1,1,2,1,1,15,1.2,12.50,4,1,1,1,5,3,5,2,0.8,2.50,1,1,7,July
Sichuan,CVH,SM SM713100155,??? 0232,1979,19790716,Sichuan Ganzi Tibetan Autonomous Prefecture Kowloon Sanyanlong Commune Bogang Brigade,,,3000,In the dense forest of the hillside,In the dense forest of the hillside,1,NA,NA,NA,NA,5,45,1,3,2,1,2,1,2,26,30,34,90,3.47,4.00,4.53,12.00,15,22,18,2,3,2,7.5,7.33,9,1,1,1,4,1.2,1.5,1.2,1,1,1,1,1,1,1,1,2,1,1,1,1,1,2,1,1,15,1.2,12.50,4,1,1,1,5,3,5,2,0.8,2.50,1,1,7,July
Sichuan,CVH,SM SM713100156,??? 0232,1979,19790716,Sichuan Ganzi Tibetan Autonomous Prefecture Kowloon Sanyanlong Commune Bogang Brigade,,,3000,In the dense forest of the hillside,In the dense forest of the hillside,1,NA,NA,NA,NA,5,45,1,3,2,1,2,1,2,26,30,34,90,3.47,4.00,4.53,12.00,15,22,18,2,3,2,7.5,7.33,9,1,1,1,4,1.2,1.5,1.2,1,1,1,1,1,1,1,1,2,1,1,1,1,1,2,1,1,15,1.2,12.50,4,1,1,1,5,3,5,2,0.8,2.50,1,1,7,July
Sichuan,CVH,SM SM713100168,??? 0205,1980,19800511,"Sichuan Ganzi Tibetan Autonomous Prefecture, Kangding Jintang District Xinhe Commune River Dam Team",,,NA,Mountain,Mountain,1,1,1,17,yes,17,21,1,3,3,1,0.8,0.8,2,16,18,20,54,4.57,5.14,5.71,15.43,8,15,12,2,3,3,4,5,4,1,1,1,4,1,1.3,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,2,1,1,12,2,6.00,4,1,1,1,5,3,1,2.2,1,2.20,1,1,5,May
Sichuan,CVH,SM SM713100169,??? 0205,1980,19800511,"Sichuan Ganzi Tibetan Autonomous Prefecture, Kangding Jintang District Xinhe Commune River Dam Team",,,NA,Mountain,Mountain,1,1,1,17,yes,4,22,1,3,3,1,0.8,0.8,2,18,20,22,60,4.91,5.45,6.00,16.36,10,18,14,2.5,3.5,2.5,4,5.14,5.6,1,1,1,3,1.2,1.5,1.5,1,1,1,1,1,1,1,1,2,1,1,1,1,1,2,1,1,13,2.5,5.20,4,1,1.2,1,5,3,1,2.5,1.2,2.08,1,1,5,May
Sichuan,CVH,KUN 0469430,??????? 1033,1982,"1982/08/05
","Kanding-Xindu Bridge, China
",,,3950,Hillside,Hillside,1,NA,NA,NA,yes,2,35,1,3,3,3,2,1,1,16,16,16,48,2.74,2.74,2.74,8.23,20,30,26.5,6,9,8,3.33,3.33,3.31,1,1,1,4,3.5,4,3.5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,21,7,3.00,3,1,1.2,1,5,3,2,3.5,1.2,2.92,1,1,8,August
Sichuan,CVH,KUN 0469444,??????? 841,1982,7/31/1982,"After the Gongga Temple in Shad District, China",,,4250,Alpine Groves - Alpine Meadows,Alpine Groves - Alpine Meadows,1,NA,NA,NA,yes,10,18,1,2,2,2,1,1,1,10,10,10,30,3.33,3.33,3.33,10.00,12,18,17,6,8,7,2,2.25,2.43,1,1,1,4,3.5,4,3,1,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,16,7,2.29,1,1.2,1.2,1,5,3,1,3,1.2,2.50,1,1,7,July
Sichuan,CVH,KUN 0469436,?? 70289,1957,4/27/1957,China Forest Institute,,,2850,Mountain side,Mountain side,1,NA,NA,NA,yes,9,25,1,3,3,2,2.5,1,2,14,16,16,46,3.36,3.84,3.84,11.04,16,22,22,5.5,6.5,5.8,2.91,3.38,3.79,1,1,1,4,3,4,3,1,3,1,1,1,1,1,1,1,1,2,1,1,1,2,1,1,14,4,3.50,1,1.2,1.2,1,5,3,1,3,1.2,2.50,1,1,4,April
Sichuan,CVH,KUN 0469437,?? 70355,1957,5/2/1957,"Malcom Side Mountain, China",,,2650,On the hillside,On the hillside,1,NA,NA,NA,yes,14,38,1,3,3,2,5.5,1,2,14,16,17,47,2.21,2.53,2.68,7.42,16.5,18,15,4,6,5,4.13,3,3,1,1,1,1,2.5,2.5,2,1,3,1,1,1,1,1,1,1,1,2,1,1,1,2,1,1,10,3.5,2.86,1,1,1,1,5,3,2,2.5,1.2,2.08,1,1,5,May
Sichuan,CVH,KUN 0469438,?? 70677,1957,5/29/1957,China Dalang Foot Gap,,,2650,NA,NA,1,1,1,10,yes,12,38,1,3,3,2,2.8,1,1,14,16,19,49,2.21,2.53,3.00,7.74,17.5,22,20,4.5,6,5,3.89,3.67,4,1,1,1,2,3,3,3,1,1,1,1,1,1,1,1,1,1,2,1,1,1,3,3,1,12,4,3.00,4,1,0.9,1,5,3,1,2,1,2.00,1,1,5,May
Sichuan,CVH,KUN 0469573,?? 70680,1957,5/17/1957,"Mount across the hill from Malcom, China",,,2570,On the hillside,On the hillside,1,NA,NA,NA,yes,10,34,1,3,3,1,2,1,2,18,20,20,58,3.18,3.53,3.53,10.24,15,20,20,4,5.5,5,3.75,3.64,4,1,4,1,2,2,2,2,1,3,1,1,1,1,1,1,1,1,2,1,1,1,3,1,1,14,3.5,4.00,4,1,1.2,1,5,3,1,2.5,1.2,2.08,1,1,5,May
Sichuan,CVH,KUN 0469439,?? 70704,1957,5/18/1957,"Across the Songgang River, China",,,2640,On the hillside,On the hillside,1,NA,NA,NA,yes,12,35,1,3,3,2,1.5,1,2,18,20,21,59,3.09,3.43,3.60,10.11,17.5,26,26,4,5,4.5,4.38,5.2,5.78,1,1,1,1,3.5,3,2.5,1,1,1,1,1,1,1,1,1,1,2,1,1,1,3,3,1,15,4,3.75,4,1,0.8,1,5,3,1,2.5,1.2,2.08,1,1,5,May
Sichuan,CVH,KUN 0469440,?? 70862,1957,5/26/1957,"209 logging site in Songgang Bulmargou, China",,,3160,In the mountains,In the mountains,1,NA,NA,NA,NA,NA,30,1,3,3,2,3,1,1,14,16,16,46,2.80,3.20,3.20,9.20,22,25,25,5,6,5.5,4.4,4.17,4.55,1,1,1,1,3,3,2.5,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,12,3,4.00,4,1,1,1,5,3,1,2.5,1.2,2.08,1,1,5,May
Sichuan,CVH,KUN 0469441,?? 71165,1957,5/25/1957,"Near Drocki, China",,,2700,On the foot of the hill,On the foot of the hill,1,NA,NA,NA,yes,3,34,1,3,3,2,1.5,1,1,18,20,20,58,3.18,3.53,3.53,10.24,12,20,23,4,6,6.5,3,3.33,3.54,1,1,1,1,3.5,3.5,3,1,3,1,1,1,1,1,1,1,1,2,1,1,1,3,3,1,12,4,3.00,4,1,1,1,5,3,1,2.5,1.1,2.27,1,1,5,May
Sichuan,CVH,KUN 0469423,??? 402,1959,7/16/1959,"Two Rivers Township, Fubian District, China",,,3400,NA,NA,1,1,1,16,yes,7,40,1,3,3,2,4,1,2,20,22,22,64,3.00,3.30,3.30,9.60,20,25,20,3,4,3,6.67,6.25,6.67,1,1,1,4,1.2,1.8,1.2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,12,2,6.00,4,1.1,1.2,1,5,3,4,3,1,3.00,1,1,7,July
Sichuan,CVH,KUN 0469414,???????? 1166,1930,6/21/1930,"Xikang, China",,,NA,NA,NA,1,NA,NA,NA,NA,NA,30,1,3,3,2,2.5,0.8,2,13,13,13,39,2.60,2.60,2.60,7.80,15.5,20,18,3.5,5,4,4.43,4,4.5,1,1,1,4,1.5,2,1.5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,12,2.2,5.45,NA,1.2,1.2,1,5,3,NA,3.5,1.2,2.92,1,1,6,June
sichuan,CVH,KUN 0469419,??? 2952,1959,7/21/1959,"Mia Roman Field Trench, China",,,3700,"High mountain flat grassy slope, along the side of the river, the sun-dwelling black soil","High mountain flat grassy slope, along the side of the river, the sun-dwelling black soil",1,1,2,57,yes,14,45,1,3,2,2,2.5,1,2,25,25,25,75,3.33,3.33,3.33,10.00,16,21,20,4.5,5.5,4.7,3.56,3.82,4.26,1,1,1,4,2,3,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,3,1,12,2.5,4.80,4,1,1,1,5,3,5,2.5,1,2.50,1,1,7,July
Sichuan,CVH,SM SM713100208,??? 827,1979,19790715,Sichuan Aba Tibetan Autonomous Prefecture Mao County Weicheng Commune,,,3200,"Meadows, yang","Meadows, yang",1,NA,NA,NA,NA,10,32,1,3,2,1,2.5,1,1,24,26,30,80,4.50,4.88,5.63,15.00,14,22,15,3.5,5,4,4,4.4,3.75,1,1,1,4,2,2.5,2,1,1,1,1,1,1,1,1,2,1,1,1,1,1,2,1,1,10,2,5.00,4,1,1,1,5,3,5,2,1,2.00,1,1,7,July
Sichuan,CVH,SM SM713100209,??? 827,1979,19790715,Sichuan Aba Tibetan Autonomous Prefecture Mao County Weicheng Commune,,,3200,"Meadows, yang","Meadows, yang",1,NA,NA,NA,NA,10,32,1,3,2,1,2.5,1,1,24,26,30,80,4.50,4.88,5.63,15.00,14,22,15,3.5,5,4,4,4.4,3.75,1,1,1,4,2,2.5,2,1,1,1,1,1,1,1,1,2,1,1,1,1,1,2,1,1,10,2,5.00,4,1,1,1,5,3,5,2,1,2.00,1,1,7,July
Sichuan,CVH,SM SM713100271,??? 0047,1978,19780530,"Muli Xiangyang Commune, Liangshan Yi Autonomous Prefecture, Sichuan Province",,,2390,Xiangyang,Xiangyang,1,1,2,30,yes,4,20,1,3,2,1,1.5,0.8,1,8,10,12,30,2.40,3.00,3.60,9.00,10,16,15,3,6,4.5,3.33,2.67,3.33,1,1,1,4,1.8,2.2,2,1,1,1,1,1,1,1,1,1,1,2,1,1,1,2,1,1,15,3,5.00,4,1.2,1.2,1,5,3,5,2.5,1.2,2.08,1,1,5,May
sichuan,CVH,KUN 0469421,????? 9666,1960,6/29/1960,China,,,3400,Hillsides with prickly bushes,Hillsides with prickly bushes,1,NA,NA,NA,yes,10,30,1,3,2,2,2.5,1,1,16,18,18,52,3.20,3.60,3.60,10.40,21.5,35,30,4.25,6.5,6,5.06,5.38,5,1,1,1,4,2.5,3,2.5,1,1,1,1,1,1,1,1,1,1,2,1,1,1,2,1,1,13,3,4.33,1,1.5,0.8,1,5,3,3,2,1,2.00,1,1,6,June
Sichuan,CVH,CDBI CDBI0238180,?????????? Gaoxf0154,2008,7/16/2008,"Kangding, Sichuan, China",30 03 11,101 49 15,4111,Alpine scrubs,Alpine scrubs,1,1,1,15,yes,20,14,1,2,1,1,0.5,1,2,10,12,16,38,4.29,5.14,6.86,16.29,12,15,14,3.5,5.5,4.5,3.43,2.73,3.11,1,1,1,4,2,2.5,2,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,10,3.8,2.63,4,1,0.8,1,5,3,5,1.8,0.8,2.25,1,1,7,July
Sichuan,CVH,SM SM713100159,??? 0433,1980,19800623,"Kangding, Sichuan, China","Sichuan Ganzi Tibetan Autonomous Prefecture, xinlong under occupation",,NA,Mountain,Mountain,1,1,1,9,yes,4,17,1,2,2,1,0.5,0.8,1,12,14,18,44,4.24,4.94,6.35,15.53,8,13,11,2,3,2.5,4,4.33,4.4,1,1,1,4,1,1.3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,8,1.2,6.67,4,0.8,0.8,1,5,3,5,1.5,0.8,1.88,1,1,6,June
Sichuan,CVH,KUN 0469443,??? 12766,1983,8/9/1983,China Bailing Commune 4th Team,,,3900,Hillside Scrub meadows,Hillside Scrub meadows,1,NA,NA,NA,yes,12,32,1,2,2,1,3.5,1,1,12,14,14,40,2.25,2.63,2.63,7.50,18,18,16,4,5,4,4.5,3.6,4,1,2,1,3,2.5,3,3,1,1,1,1,1,2,1,1,1,1,1,1,1,1,2,1,1,12,4,3.00,4,1,1.1,1,5,3,5,2,1.1,1.82,1,1,8,August
