,,,,,,,,,altitude,,habitat,habit (perennial herbs = 1),"rhizome character (stout, terete = 1; stout, terete, thick/woody = 2; stout, terete, bulged below tip = 3)",rhizome shape (tuberous = 1; fusiform = 2; tuberous-fusiform = 3,rhizome length (cm),rhizome branching,stem number,stem length (average cm),stem texture (glabrous = 1),internode distance (base mm),internode distance (central mm),internode distance (tip mm),leaf basal diatance (cm),petiole length(mm),leaf angle (degree) (<30 = 1; 30--35 = 2; >35 = 3),basal (min -max),central (min - max),tip (min - max),total leaf count,base,central ,tip,total,base,central,tip,base,central,tip,base,central,tip,Leaf curvature (straight = 1; slightly falcate = 2; straight to falcate = 3),leaf margin taper (lanceolate = 1; elliptic = 2; oblanceolate = 3; parallel = 4; lanceolate-elliptic = 5; lanceolate-parallel  = 6; oblanceolate-parallel = 7; elliptic-oblong = 8),"margin colour (dark green = 1; dark green, coloured at tip = 2)",margin width upto  from base(narrower = 1;equal = 2; broader = 3; broader to narrower = 4),base,centre,tip,margin (entire = 1; slightly revolute = 2),leaf base (cuneate = 1; rounded = 2; cuneate to rounded = 3),leaf base symmetry (yes = 1),leaf apex symmetry (yes = 1),leaf apex shape (acute = 1; obtuse = 2; acute to obtuse = 3),Leaf arrangement (alternate = 1; alternate to nearly opposite = 2; alternate to opposite and/or whorled = 3),leaf texture (medium = 1),leaf edges (flat = 1; incurving = 2),abaxial surface texture (glabrous = 1; light glabrous = 2; dark glabrous = 3),adaxial surface texture (glabrous = 1; light glabrous = 2; dark glabrous = 3),mid rib colour with leaf (same = 1; different = 2),leaf mid rib appearance (abaxial)  (level = 1; elevated = 2),leaf mid rib appearance (adaxial)  (level = 1; sunken = 2),number of lateral veins (pairs)  (4--6 pairs = 1),"flower number (<20 = 1, 20-30 = 2, >30 = 3)",bract number (6 no. = 1; 6--8 no. = 2; 8 no. = 3),bract margin (entire = 1),length in mm (min - max),width in mm (min - max),ratio (length/width average),colour (red = 1; purplish red = 2; pinkish red = 3; yellow = 4),cylindric diameter (mm),length (cm),texture (glabrous = 1),number  5,shape (ovate = 1; oblong = 2; ovate-oblong = 3; ),colour (white = 1; purplish white = 2; pinkish white = 3; yellowish white = 4; yellow = 5),length (mm),breadth (mm),Length and Width ratio,apex (round =1),veins (reticulate veins = 1; purplish red reticulate veins = 2),period (months),period
Gansu,CVH,WUK 0390498,??? 4423,1959,7/7/1959,"Tianzhu Tibetan Autonomous County, Gansu Province, China, Tianzhu Tibetan Autonomous County, Anyuan Town",,,2700,hillside,hillside,1,NA,NA,NA,NA,6,17,1,1,1,1,1,1,2,13,15,17,45,4.59,5.29,6.00,15.88,11,14,11,2.5,3.5,2.5,4.4,4,4.4,1,1,1,4,1,2,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,2,3,1,10,2,5.00,1,1,0.8,1,5,3,2,2,1,2.00,1,1,7,July
Gansu,CVH,WUK 0160041,??? 4423,1959,7/7/1959,"Tianzhu Tibetan Autonomous County, Gansu Province, China, Anyuan Town, Tibetan Autonomous County",,,2700,hillside,hillside,1,NA,NA,NA,NA,7,20,1,1,1,1,1,1,2,15,17,19,51,4.50,5.10,5.70,15.30,11,14,11,2.5,3.5,2.5,4.4,4,4.4,1,1,1,4,1,2,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,2,3,1,10,2,5.00,1,1,0.8,1,5,3,2,2,1,2.00,1,1,7,July
Gansu,CVH,WUK 0088889,??? 10152,1957,6/19/1957,"Dingxi Huajialing, Gansu Province, China",,,2300,Ravine,Ravine,1,2,1,15,yes,7,11.5,1,1,1,1,1,1,2,9,12,15,36,4.70,6.26,7.83,18.78,9,13,12,2,3.5,3.5,4.5,3.71,3.43,1,1,1,4,1,2,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,2,1,12,3,4.00,1,1,0.8,1,5,3,1,2,1,2.00,1,1,6,June
Gansu,CVH,PE 01059282,??? 3002,1957,5/14/1957,"Yuyuan County, Gansu Province, China",,,2000,hillside,hillside,1,2,1,29,yes,16,17,1,1,1,1,1,1,2,9,11,17,37,3.18,3.88,6.00,13.06,10,18,17,2.5,3.5,3.5,4,5.14,4.86,1,1,1,4,1,2,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,2,2,1,12,2,6.00,1,1,0.9,1,5,3,1,2,1,2.00,1,1,5,May
Gansu,CVH,PE 01059255,????? 1032,1956,5/9/1905,Gansu,,,NA,NA,NA,1,NA,NA,NA,NA,13,12,1,1,1,1,1,1,2,11,13,17,41,5.50,6.50,8.50,20.50,9,15,15,2,2.5,2.5,4.5,6,6,1,1,1,4,1,1.5,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,2,3,1,12,4,3.00,3,1,0.8,1,5,3,1,2,1,2.00,1,1,NA,NA
Gansu,CVH,PE 01059285,????? 4800,1956,6/13/1956,"On the road in Bong-li, Gansu Province, China",,,NA,hillside,hillside,1,NA,NA,NA,NA,14,18,1,1,1,1,1,1,2,13,15,17,45,4.33,5.00,5.67,15.00,13,19,19,3.5,4.5,4.5,3.71,4.22,4.22,1,1,1,4,2,3,1.8,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,14,3,4.67,3,1,0.8,1,5,3,1,2,1,2.00,1,1,6,June
Gansu,CVH,PE 01059270,????? 5539,1956,7/16/1956,"Lujiawan Hillside, Jingyuan County, Gansu, China",,,NA,Hillside,Hillside,1,NA,NA,NA,NA,4,15.5,1,1,1,1,1,1,2,13,14,18,45,5.03,5.42,6.97,17.42,8.5,18,17,2.5,5,3.5,3.4,3.6,4.86,1,1,1,4,2,3.5,2,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,3,1,10,2,5.00,3,1,0.8,1,5,3,1,2,1,2.00,1,1,7,July
Gansu,CVH,WUK 0085213,??? 4508,1956,6/4/1956,"Wushan Majiahe, Gansu Province, China",,,NA,hillside,hillside,1,NA,NA,NA,NA,6,16.5,1,2,1,1,1,1,2,11,13,15,39,4.00,4.73,5.45,14.18,11,15,17,3,5,5.5,3.67,3,3.09,1,1,1,4,2,3,1.8,1,1,1,1,1,2,1,1,2,3,1,1,1,1,2,1,1,15,5,3.00,3,1,0.8,1,5,3,1,2,1,2.00,1,1,6,June
Gansu,CVH,WUK 0085928,??? 5539,1956,7/4/1956,"Jingyuan Road Bay, Gansu Province, China",,,NA,hillside,hillside,1,2,1,15,yes,10,17.5,1,1,1,1,1,1,2,15,19,25,59,5.14,6.51,8.57,20.23,16,19,15,2,2.5,2.5,8,7.6,6,1,6,1,4,1,1.5,1,1,1,1,1,1,2,1,1,2,3,1,1,1,1,2,3,1,10,2,5.00,3,1,0.8,1,5,3,1,2,1,2.00,1,1,7,July
Gansu,CVH,WUK 0081185,??????????? 1032,1956,5/29/1956,"Great English Plate Groove in Chenbao Township, Zhuang lang Tonghua District, Gansu Province, China",,,NA,NA,NA,1,2,1,20,yes,22,14,1,1,1,1,1,1,2,11,13,17,41,4.71,5.57,7.29,17.57,9,16.5,18,2.5,4.5,4.5,3.6,3.67,4,1,1,1,4,2,2.5,1.5,1,1,1,1,1,2,1,1,2,3,1,1,1,1,2,3,1,12,3,4.00,3,1,1,1,5,3,1,2,1,2.00,1,1,5,May
