,,,,,,TP,TP,AI,RH,PP,PET,PV,SC,SM,SP,SR,WV,WS,HH,HH,HH,HH,HH,HH,HH,HH,HH,HH,HH,HH,HH,HH,GD,GD,GD,GD,GD,LULC ,LULC ,LULC ,LULC ,LULC ,LULC ,LULC ,LULC ,LULC ,LULC ,LULC ,LULC ,UVB,UVB,UVB,UVB,UVB,UVB,CLIM,CLIM,CLIM,CLIM,CLIM,CLIM,CLIM,CLIM,CLIM,CLIM,CLIM,CLIM,CLIM,CLIM,CLIM,CLIM,CLIM,CLIM,CLIM
SN,barcode,Province,long,lat,colour,Elevation (m),Aspect (degree),Annual aridity (ratio),Annual Relative Humidity (%),Net primary productivity (kg-carbon/m²/year),Potential evapotranspiration (mm),Potential vegetation (15 biomes categories),Soil carbon (Kg-Carbon/m² to 1 m depth),Soil moisture (mm based on 150 mm water holding capacity),Soil pH (acidity-alkaline level),Annual solar radiation (kJ/m²/day),Annual water vapour (kPa),Annual wind speed (m/s),"Contrast (exponentially weighted difference in EVI between adjacent pixels, x ?0)","Correlation (linear dependency of EVI on adjacent pixels, 1? x ?-1)","Coefficient of variation (normalized dispersion of EVI, x ?0)",Dissimilarity, Entrophy,"Evenness (evenness of EVI, 1? x ?0)","Homogeneity (similarity of EVI between adjacent pixels, 1? x ?0)","Maximum (dominance of EVI combinations between adjacent pixels, 1? x ?0)","Range (Range of EVI, x ?0)",Shannon index,Simpson index,Standard deviation,"Uniformity (orderliness of EVI, 1? x ?0)­­­","Variance (Dispersion of EVI combinations between adjacent pixels, x ?0)",First day of growing season (Julian day),Growing degree days (°C based on 5-degree base temperature),Growing season length (number of days),Growing season temperature (°C/10),Last day of growing season (Julian day),Evergreen/deciduous Needleleaf trees (Lulc1),Evergreen broadleaf trees (LULC2),Deciduous Broadleaf Trees (LULC3),Mixed/other trees (LULC4),Shrubs (LULC5),Herbaceous vegetation (LULC6),Cultivated and managed vegetation (LULC7),Regularly Flooded Vegetation (LULC8),Urban/Built-up (LULC9),Snow/Ice (LULC10),Barren (LULC11),Barren (LULC12),Annual mean UV-B (J/m²/day),UV-B seasonality (J/m²/day),Mean UV-B of highest month (J/m²/day),Mean UV-B of lowest month (J/m²/day),Sum of monthly mean UV-B during highest quarter,Sum of monthly mean UV-B during lowest quarter,bio1,bio2,bio3,bio4,bio5,bio6,bio7,bio8,bio9,bio10,bio11,bio12,bio13,bio14,bio15,bio16,bio17,bio18,bio19
18,PE 01059282,Gansu,104.22085800000,35.12482300000,RW,2155.90,66.16,5582.40,45.00,0.49,43.53,10.00,3.49,47.04,7.83,14224.90,0.71,2.01,70946.00,6047.00,825.00,19200.00,44561.00,8667.00,4089.00,391.00,1693.00,24679.00,9026.00,295.00,157.00,87586.00,78.28,1555.00,161.56,12.35,108.67,0.00,0.00,0.00,0.00,0.00,52.00,48.00,0.00,0.00,0.00,0.00,0.00,3331.72,167256.00,5546.10,1175.74,15565.80,5232.37,65.00,104.00,298.00,8158.00,230.00,-119.00,349.00,170.00,-54.00,171.00,-54.00,543.00,108.00,2.00,85.00,323.00,9.00,9.00,9.00
19,PE 01059285,Gansu,104.35897000000,34.69495800000,RW,2313.14,62.70,6383.57,38.00,0.53,36.74,8.00,3.91,136.85,7.23,13908.90,0.70,2.07,117071.00,8241.00,1637.00,25077.00,51617.00,9030.00,3462.00,220.00,3070.00,30949.00,9445.00,645.00,82.00,406392.00,79.71,1120.00,161.27,11.87,153.94,0.00,0.00,0.00,0.00,0.00,46.64,53.36,0.00,0.00,0.00,0.00,0.00,4470.04,233378.00,7493.72,1392.23,21015.70,6759.73,61.00,98.00,294.00,7806.00,217.00,-115.00,332.00,163.00,-53.00,163.00,-53.00,527.00,99.00,1.00,82.00,289.00,6.00,6.00,6.00
23,WUK 0085213,Gansu,104.87649700000,34.82608100000,RW,2045.65,151.86,6430.10,49.00,0.53,51.73,10.00,4.93,42.21,7.14,13999.40,0.77,2.06,119859.00,7502.00,1551.00,24878.00,49471.00,8758.00,3577.00,322.00,2571.00,28354.00,9285.00,488.00,106.00,246409.00,79.00,1417.00,215.97,12.00,210.86,0.00,0.00,0.00,4.13,0.00,33.00,62.87,0.00,0.00,0.00,0.00,0.00,3106.71,158299.00,5168.94,1103.55,14624.10,4788.35,68.00,98.00,287.00,8157.00,229.00,-112.00,341.00,172.00,-51.00,173.00,-51.00,691.00,130.00,2.00,82.00,375.00,8.00,8.00,8.00
25,BNU 001385,Gansu,106.31057700000,35.24337600000,RW,2286.77,223.43,7644.77,49.00,0.55,43.49,8.00,4.13,87.57,7.23,14348.10,0.78,2.46,85242.00,7920.00,1015.00,20986.00,48953.00,8931.00,3921.00,318.00,2564.00,29036.00,9332.00,518.00,106.00,269567.00,94.42,1648.00,187.99,11.35,229.51,0.22,0.00,5.21,30.49,4.87,25.65,33.56,0.00,0.00,0.00,0.00,0.00,2898.02,142725.00,4756.46,1047.38,13407.80,4533.63,48.00,100.00,285.00,8507.00,217.00,-132.00,350.00,160.00,-74.00,160.00,-74.00,588.00,121.00,3.00,81.00,323.00,10.00,10.00,10.00
56,HNWP 162347,Qinghai,100.06984900000,35.27934600000,RW,3471.38,30.18,5349.76,25.00,0.39,35.88,10.00,7.46,57.78,6.58,15494.50,0.38,2.64,203168.00,7696.00,1612.00,33319.00,55209.00,9153.00,2867.00,189.00,3362.00,32407.00,9539.00,681.00,54.00,454061.00,115.67,811.00,173.36,7.93,287.93,0.00,0.00,0.00,0.00,0.00,57.46,42.54,0.00,0.00,0.00,0.00,0.00,4683.79,250906.00,7986.56,1437.45,22338.50,6930.53,6.00,124.00,334.00,7983.00,169.00,-203.00,372.00,105.00,-103.00,108.00,-114.00,553.00,129.00,2.00,103.00,370.00,6.00,6.00,6.00
73,PE 01059295,Qinghai,100.71194444400,34.71472222220,RW,3482.54,205.05,6143.85,20.00,0.44,28.92,10.00,6.72,128.31,6.41,14961.70,0.42,2.50,354822.00,7392.00,2204.00,45143.00,58622.00,9341.00,2109.00,112.00,4133.00,34625.00,9642.00,840.00,35.00,693101.00,109.17,527.00,128.47,8.43,179.76,0.00,0.00,0.00,0.00,0.00,57.95,42.05,0.00,0.00,0.00,0.00,0.00,4865.68,251923.00,8143.25,1553.16,22828.10,7390.64,17.00,117.00,337.00,7436.00,170.00,-178.00,348.00,110.00,-72.00,113.00,-95.00,307.00,65.00,2.00,88.00,183.00,7.00,7.00,7.00
12,HNWP 0206884,Gansu,101.72515900000,34.06574300000,RW,3539.70,27.31,7723.78,20.00,0.35,29.36,10.00,8.07,144.91,6.08,14141.70,0.45,2.50,378169.00,5952.00,1240.00,38774.00,52308.00,8553.00,2788.00,240.00,4167.00,29914.00,9350.00,703.00,73.00,555229.00,117.49,594.00,174.57,7.91,287.71,0.00,0.00,0.00,0.00,0.00,72.22,24.28,0.00,0.00,0.00,0.00,3.50,4952.96,253989.00,8216.22,1605.09,23143.60,7573.69,14.00,111.00,341.00,7025.00,160.00,-168.00,327.00,104.00,-72.00,107.00,-89.00,577.00,114.00,2.00,89.00,324.00,9.00,9.00,9.00
13,PE 01560469,Gansu,103.21230400000,34.06481900000,RW,2889.43,191.96,6959.84,33.00,0.51,29.13,10.00,7.61,147.52,6.16,13720.50,0.57,2.20,222874.00,7661.00,1721.00,35083.00,55750.00,9030.00,2696.00,171.00,4201.00,32980.00,9559.00,757.00,49.00,601721.00,90.10,1078.00,152.42,9.73,183.20,20.94,0.00,0.00,24.06,2.01,21.11,13.94,0.00,17.59,0.00,0.00,0.00,4719.07,242570.00,7820.99,1511.94,22029.20,7205.21,43.00,99.00,319.00,6820.00,182.00,-127.00,308.00,134.00,-46.00,134.00,-57.00,566.00,109.00,2.00,83.00,310.00,8.00,8.00,8.00
14,PE 01059262,Gansu,103.54751600000,34.57058500000,RW,2826.85,18.77,7217.77,37.00,0.51,41.09,10.00,3.94,125.78,7.45,13982.00,0.59,2.20,215639.00,7163.00,1318.00,33484.00,54093.00,9161.00,2835.00,206.00,3188.00,31285.00,9482.00,639.00,61.00,431172.00,102.66,1079.00,198.97,9.19,293.49,19.77,0.00,0.00,38.13,0.00,33.85,7.61,0.00,0.00,0.00,0.00,0.00,4498.20,234531.00,7580.10,1417.57,21069.10,6806.83,33.00,101.00,311.00,7296.00,182.00,-142.00,324.00,129.00,-74.00,129.00,-74.00,633.00,127.00,2.00,86.00,363.00,8.00,8.00,8.00
17,WUK 0033635,Gansu,104.03842400000,34.42567300000,RW,2497.83,253.74,6384.69,38.00,0.53,43.48,10.00,4.95,108.85,6.64,13785.50,0.67,2.07,149772.00,6708.00,1362.00,28866.00,51606.00,9050.00,3055.00,221.00,2542.00,29020.00,9342.00,507.00,77.00,284011.00,77.62,1068.00,133.36,11.59,98.24,0.00,0.00,0.00,0.00,0.00,49.98,49.52,0.00,0.50,0.00,0.00,0.00,4544.95,233247.00,7528.45,1453.22,21193.10,6942.36,59.00,95.00,299.00,7393.00,207.00,-113.00,320.00,156.00,-49.00,156.00,-49.00,408.00,77.00,1.00,83.00,222.00,5.00,5.00,5.00
26,KUN 1247497,Gansu,102.35835000000,34.18193333330,RW,3520.27,191.51,7987.38,15.00,0.38,31.95,13.00,8.13,146.62,6.08,13959.10,0.47,2.55,202829.00,7903.00,1404.00,29319.00,51055.00,9056.00,3431.00,240.00,3209.00,30277.00,9397.00,766.00,87.00,842029.00,120.50,266.00,172.93,7.75,292.56,0.00,0.00,0.00,0.00,0.00,72.62,27.38,0.00,0.00,0.00,0.00,0.00,4888.40,247195.00,8052.24,1599.33,22745.80,7597.50,13.00,107.00,335.00,6927.00,157.00,-163.00,320.00,103.00,-88.00,106.00,-88.00,629.00,123.00,2.00,84.00,343.00,10.00,10.00,10.00
27,PE 01560468,Gansu,103.90183333300,34.22966666670,RW,3049.11,257.76,8246.42,39.00,0.51,35.23,10.00,6.75,140.82,6.31,13600.90,0.58,2.46,123599.00,6533.00,806.00,26814.00,50442.00,8881.00,3160.00,243.00,2382.00,28141.00,9290.00,436.00,85.00,191257.00,110.55,1167.00,185.93,8.79,287.71,1.46,0.00,0.00,4.09,0.00,61.03,33.42,0.00,0.00,0.00,0.00,0.00,4585.22,233424.00,7630.12,1485.85,21273.50,7039.68,26.00,94.00,299.00,7249.00,170.00,-144.00,314.00,120.00,-80.00,121.00,-80.00,624.00,116.00,2.00,81.00,329.00,9.00,9.00,9.00
52,HNWP 180297,Qinghai,95.76318700000,34.12658400000,RW,4289.91,90.72,6597.90,7.00,0.00,30.41,13.00,4.88,78.21,6.83,16054.40,0.34,2.89,490413.00,6808.00,2536.00,47203.00,56651.00,8891.00,2613.00,227.00,5174.00,34295.00,9581.00,913.00,52.00,810472.00,162.23,0.00,108.18,5.75,267.49,0.00,0.00,0.00,0.00,0.00,64.05,35.95,0.00,0.00,0.00,0.00,0.00,5450.12,275400.00,8992.22,1824.63,25281.60,8498.87,-29.00,116.00,339.00,7322.00,129.00,-215.00,344.00,65.00,-115.00,71.00,-135.00,449.00,107.00,2.00,103.00,306.00,7.00,7.00,9.00
104,PE 01059351,Sichuan,102.73675900000,34.10576400000,RW,3306.20,279.59,7476.39,24.00,0.38,29.71,10.00,8.13,147.70,6.08,13815.00,0.50,2.38,136961.00,6971.00,919.00,27262.00,51284.00,8780.00,3263.00,277.00,2901.00,29305.00,9352.00,494.00,85.00,248104.00,109.22,670.00,185.34,8.38,282.22,0.00,0.00,0.00,0.00,0.00,77.77,22.23,0.00,0.00,0.00,0.00,0.00,4810.70,245993.00,7958.53,1555.11,22444.40,7366.19,25.00,104.00,330.00,6837.00,165.00,-148.00,314.00,114.00,-75.00,116.00,-75.00,509.00,97.00,2.00,81.00,268.00,9.00,9.00,9.00
106,PE 01059338,Sichuan,103.17668400000,34.66120500000,RW,2912.54,271.11,6599.80,34.00,0.51,36.22,10.00,6.61,139.61,6.35,14111.40,0.56,2.22,208283.00,6314.00,1162.00,34942.00,53851.00,8880.00,2548.00,170.00,2944.00,30272.00,9430.00,533.00,59.00,282362.00,94.01,1063.00,162.09,9.65,165.64,6.16,0.00,0.00,7.38,0.00,53.87,32.58,0.00,0.00,0.00,0.00,0.00,4601.25,241151.00,7739.48,1432.94,21598.70,6874.48,40.00,104.00,321.00,7179.00,188.00,-137.00,325.00,135.00,-66.00,135.00,-66.00,437.00,87.00,1.00,84.00,251.00,6.00,6.00,6.00
63,HNWP 151201,Qinghai,101.45719500000,33.42048100000,RW,3793.06,27.08,8654.79,10.00,0.39,29.76,13.00,4.28,148.99,7.02,13877.90,0.43,2.60,214349.00,6684.00,1015.00,32997.00,53350.00,8912.00,2875.00,256.00,3185.00,30455.00,9446.00,568.00,65.00,324446.00,130.48,93.00,159.32,7.59,289.11,0.00,0.00,0.00,0.00,0.00,53.21,43.14,0.00,3.74,0.00,0.00,0.00,5147.93,253551.00,8351.23,1759.98,23659.80,8104.90,6.00,110.00,340.00,7047.00,150.00,-174.00,324.00,96.00,-77.00,100.00,-95.00,730.00,139.00,3.00,86.00,404.00,14.00,14.00,15.00
79,PE 01059297,Qinghai,99.43111111110,33.69388888890,RW,4177.42,122.68,7811.54,12.00,0.16,30.84,13.00,9.52,130.91,5.91,14798.60,0.38,2.85,253418.00,6092.00,1366.00,35474.00,53599.00,8849.00,2814.00,216.00,3498.00,30719.00,9430.00,582.00,67.00,349937.00,143.42,137.00,135.03,6.79,277.36,0.00,0.00,0.00,0.00,0.00,53.48,46.52,0.00,0.00,0.00,0.00,0.00,5222.02,258328.00,8537.04,1788.80,24058.40,8212.31,-16.00,114.00,325.00,7730.00,141.00,-211.00,351.00,83.00,-107.00,85.00,-128.00,376.00,80.00,2.00,94.00,235.00,7.00,7.00,9.00
105,SM713100192,Sichuan,102.85778000000,33.61662100000,RW,3465.37,248.81,8010.81,24.00,0.39,35.63,10.00,18.81,146.53,4.69,13486.80,0.50,2.53,208900.00,7383.00,1233.00,34400.00,55093.00,9079.00,2665.00,159.00,3454.00,31983.00,9514.00,670.00,52.00,463948.00,114.89,759.00,184.03,8.18,298.09,2.77,0.00,0.00,5.43,0.00,70.66,21.27,0.00,0.00,0.00,0.00,0.00,4851.78,242728.00,7962.81,1617.87,22385.60,7578.62,22.00,99.00,326.00,6693.00,158.00,-145.00,303.00,112.00,-74.00,112.00,-74.00,663.00,122.00,3.00,83.00,351.00,13.00,13.00,13.00
107,HX 017910,Sichuan,103.36195000000,33.47125800000,RW,3503.65,205.05,8994.21,30.00,0.44,35.17,10.00,12.80,147.63,5.27,13285.10,0.52,2.61,126027.00,8045.00,1311.00,26807.00,52267.00,9243.00,3266.00,288.00,2590.00,30385.00,9445.00,583.00,74.00,334726.00,122.62,875.00,172.40,7.90,288.89,16.19,13.01,2.23,15.55,0.00,37.65,16.51,0.00,0.00,0.00,0.00,0.00,4882.07,241698.00,7966.85,1649.20,22423.10,7667.59,17.00,91.00,307.00,6727.00,150.00,-145.00,295.00,93.00,-80.00,107.00,-80.00,614.00,101.00,3.00,75.00,291.00,13.00,13.00,13.00
21,WUK 0458049,gansu,104.52859500000,33.30815100000,RW,2873.99,97.67,8256.08,48.00,0.67,56.32,10.00,4.47,17.66,6.46,12914.20,0.69,2.44,182871.00,7492.00,1184.00,31945.00,54044.00,9222.00,2854.00,192.00,2981.00,31310.00,9495.00,609.00,59.00,368488.00,88.66,2256.00,223.45,9.85,297.37,20.69,0.00,0.00,42.25,5.97,19.35,11.25,0.00,0.00,0.00,0.00,0.00,2975.13,131567.00,4583.22,1257.93,13320.80,5048.29,50.00,76.00,267.00,7090.00,183.00,-102.00,285.00,144.00,-53.00,144.00,-53.00,610.00,114.00,1.00,83.00,326.00,6.00,6.00,6.00
49,PE 01538330,Qinghai,95.04954800000,32.93736000000,RW,4544.44,145.62,7694.03,14.00,0.03,31.61,13.00,5.43,128.86,6.60,15782.40,0.41,2.72,386561.00,6878.00,2380.00,44924.00,56755.00,8975.00,2318.00,168.00,4367.00,33457.00,9564.00,895.00,45.00,866006.00,154.05,129.00,122.85,6.38,274.99,0.00,0.00,0.00,0.00,0.00,54.99,45.01,0.00,0.00,0.00,0.00,0.00,5607.24,267073.00,9014.02,2016.63,25409.20,9122.31,-19.00,109.00,326.00,7324.00,132.00,-204.00,336.00,75.00,-104.00,80.00,-124.00,455.00,103.00,4.00,101.00,306.00,11.00,11.00,14.00
50,HNWP 0214414,Qinghai,95.59479800000,32.78736700000,RW,4334.86,136.05,7476.86,4.00,0.03,32.90,13.00,4.40,127.42,7.02,15703.50,0.43,2.46,429739.00,7707.00,2517.00,47183.00,58043.00,9155.00,2304.00,137.00,4723.00,34890.00,9631.00,975.00,39.00,964094.00,147.48,3.00,132.24,6.79,278.41,2.20,0.00,0.00,0.00,0.00,63.39,35.07,0.00,0.00,0.00,0.00,0.00,5801.47,280208.00,9424.82,2063.34,26401.50,9361.51,-12.00,108.00,324.00,7226.00,137.00,-195.00,332.00,81.00,-95.00,86.00,-116.00,469.00,109.00,3.00,103.00,310.00,10.00,10.00,12.00
54,HNWP 63510,Qinghai,97.00929900000,32.97864400000,RW,4134.98,93.60,6122.37,5.00,0.00,32.29,13.00,4.31,125.55,7.06,15445.30,0.41,2.35,195645.00,7402.00,1417.00,33559.00,54821.00,9240.00,2699.00,164.00,3358.00,31783.00,9517.00,650.00,54.00,426831.00,134.63,47.00,139.13,7.41,260.67,0.00,0.00,0.00,0.00,0.00,55.59,44.41,0.00,0.00,0.00,0.00,0.00,5607.46,271607.00,9097.96,1970.70,25498.80,8983.76,0.00,106.00,330.00,7071.00,149.00,-173.00,322.00,93.00,-82.00,97.00,-99.00,422.00,92.00,2.00,99.00,271.00,6.00,6.00,8.00
58,HNWP 200718,Qinghai,100.59472600000,33.09272800000,RW,3994.63,110.34,8623.13,9.00,0.33,31.53,13.00,5.61,147.73,6.41,14037.40,0.41,2.63,162909.00,6538.00,940.00,30607.00,52575.00,9121.00,2923.00,215.00,2571.00,29590.00,9403.00,499.00,67.00,237196.00,133.78,202.00,151.44,7.48,282.49,0.00,0.00,0.00,0.00,0.00,56.98,43.02,0.00,0.00,0.00,0.00,0.00,5357.13,261939.00,8680.23,1850.63,24550.20,8510.70,1.00,110.00,334.00,7245.00,147.00,-184.00,330.00,94.00,-90.00,96.00,-104.00,513.00,104.00,2.00,87.00,299.00,10.00,10.00,11.00
59,HNWP00014194,Qinghai,100.70188500000,32.98937200000,RW,3798.02,163.08,7951.50,9.00,0.37,38.57,13.00,6.62,142.17,5.94,14044.00,0.44,2.47,192766.00,6961.00,1111.00,31901.00,53614.00,9102.00,2875.00,196.00,3071.00,30717.00,9459.00,566.00,63.00,321054.00,122.26,199.00,167.80,8.06,286.20,0.00,0.00,0.00,0.00,0.00,65.09,34.91,0.00,0.00,0.00,0.00,0.00,5394.75,261166.00,8719.64,1889.72,24604.40,8613.14,12.00,109.00,336.00,7129.00,156.00,-170.00,326.00,103.00,-74.00,106.00,-92.00,417.00,82.00,2.00,84.00,227.00,9.00,9.00,9.00
60,HNWP 197945,Qinghai,100.77230900000,32.91299100000,RW,3780.97,135.88,7753.10,9.00,0.37,38.57,13.00,6.62,142.17,5.94,14016.50,0.44,2.46,192018.00,6546.00,1099.00,31060.00,51998.00,8749.00,3047.00,227.00,3287.00,29994.00,9385.00,539.00,78.00,278240.00,117.38,199.00,174.72,8.31,286.47,0.66,0.00,0.00,0.14,0.00,61.27,37.93,0.00,0.00,0.00,0.00,0.00,5359.25,257815.00,8638.04,1894.29,24339.40,8582.19,17.00,108.00,336.00,7053.00,159.00,-163.00,322.00,108.00,-75.00,110.00,-85.00,439.00,86.00,2.00,85.00,243.00,9.00,9.00,9.00
74,BNU 0020439,Qinghai,100.81344444400,32.76375000000,RW,3744.43,75.94,7507.71,9.00,0.37,38.57,13.00,6.62,142.17,5.94,13939.60,0.46,2.39,144789.00,6953.00,1070.00,28606.00,52463.00,9123.00,3095.00,194.00,2448.00,29489.00,9405.00,492.00,68.00,242946.00,110.45,199.00,165.99,8.73,234.67,0.32,0.00,0.00,11.47,0.00,52.01,36.21,0.00,0.00,0.00,0.00,0.00,5425.20,259377.00,8711.90,1927.20,24597.10,8753.84,24.00,107.00,337.00,6944.00,163.00,-154.00,317.00,110.00,-66.00,115.00,-77.00,457.00,89.00,2.00,86.00,257.00,9.00,9.00,9.00
76,BNU 0030798,Qinghai,96.89509444440,33.05451944440,RW,4192.56,112.72,6102.41,7.00,0.00,34.49,13.00,5.27,117.87,6.66,15492.00,0.41,2.36,200775.00,7471.00,1369.00,33578.00,54879.00,9080.00,2773.00,206.00,3367.00,31948.00,9510.00,645.00,56.00,418640.00,132.53,202.00,121.47,7.53,227.78,0.00,0.00,0.00,0.00,0.00,59.26,40.74,0.00,0.00,0.00,0.00,0.00,5448.67,265297.00,8846.84,1926.34,24906.90,8738.95,1.00,107.00,330.00,7076.00,150.00,-173.00,324.00,93.00,-81.00,98.00,-99.00,373.00,80.00,2.00,97.00,235.00,6.00,6.00,8.00
78,PE 01059294,Qinghai,97.33333333330,33.00000000000,RW,4308.57,216.67,5587.00,8.00,0.00,32.29,13.00,4.31,125.55,7.06,15284.30,0.40,2.52,262981.00,8142.00,1911.00,37567.00,56397.00,9172.00,2624.00,172.00,5050.00,34075.00,9606.00,913.00,46.00,809896.00,122.21,47.00,147.94,7.86,245.00,3.00,0.00,0.00,0.00,0.00,55.00,43.00,0.00,0.00,0.00,0.00,0.00,5560.90,268322.00,9032.36,1985.23,25264.50,8917.14,9.00,106.00,330.00,7094.00,159.00,-164.00,322.00,102.00,-73.00,106.00,-91.00,271.00,56.00,1.00,93.00,164.00,4.00,4.00,7.00
82,Chen0020,Qinghai,95.20920555560,32.89122500000,RW,4449.04,60.97,7395.77,10.00,0.03,31.61,13.00,5.43,128.86,6.60,15823.20,0.43,2.56,603612.00,7099.00,2596.00,54133.00,58002.00,9145.00,2192.00,162.00,4926.00,35039.00,9629.00,1050.00,41.00,1129995.00,141.56,129.00,127.93,6.81,255.95,0.00,0.00,0.00,0.00,0.00,54.56,45.44,0.00,0.00,0.00,0.00,0.00,5607.76,267134.00,9015.02,2016.79,25413.10,9121.62,-11.00,109.00,326.00,7282.00,140.00,-195.00,335.00,83.00,-95.00,89.00,-116.00,360.00,82.00,3.00,103.00,245.00,8.00,8.00,10.00
83,Chen0021,Qinghai,96.83981666670,33.33212222220,RW,4019.53,337.43,5938.33,12.00,0.00,34.49,13.00,5.27,117.87,6.66,15673.40,0.41,2.25,332936.00,7842.00,2294.00,42266.00,57979.00,9326.00,2299.00,134.00,4457.00,35244.00,9664.00,913.00,38.00,776333.00,134.61,202.00,146.69,7.22,277.13,11.67,0.00,0.00,11.00,0.00,62.25,15.23,0.00,0.00,0.00,0.00,0.00,5446.83,267666.00,8896.97,1901.44,25006.30,8687.26,-2.00,110.00,332.00,7168.00,150.00,-181.00,331.00,91.00,-85.00,96.00,-104.00,400.00,85.00,2.00,96.00,252.00,7.00,7.00,10.00
99,PE 01611302,Sichuan,101.73571600000,32.88701100000,RW,3580.51,97.26,8247.73,11.00,0.40,38.12,13.00,7.62,146.60,5.44,13571.70,0.48,2.45,196799.00,6171.00,1016.00,31049.00,51172.00,8570.00,3063.00,265.00,3104.00,29129.00,9297.00,533.00,89.00,293225.00,114.60,338.00,169.55,8.42,262.55,0.00,0.00,0.00,0.00,0.00,50.48,49.52,0.00,0.00,0.00,0.00,0.00,5286.54,256464.00,8536.53,1835.28,24117.90,8419.70,23.00,104.00,340.00,6686.00,159.00,-146.00,305.00,109.00,-65.00,112.00,-72.00,713.00,137.00,3.00,88.00,403.00,12.00,12.00,12.00
108,PE 01611303,Sichuan,103.61223200000,32.67781800000,RW,3272.32,261.27,8499.25,36.00,0.52,34.36,10.00,4.75,147.67,6.62,12843.10,0.63,2.45,135143.00,7235.00,973.00,27716.00,51784.00,9070.00,3082.00,201.00,2652.00,29245.00,9372.00,500.00,73.00,262030.00,108.28,1484.00,191.27,8.65,282.44,1.52,0.00,0.00,1.23,0.00,57.63,37.43,0.00,2.69,0.00,0.00,0.00,4890.16,233299.00,7796.64,1723.30,22150.00,7882.68,33.00,77.00,282.00,6563.00,156.00,-117.00,274.00,92.00,-62.00,120.00,-62.00,577.00,87.00,4.00,69.00,258.00,15.00,15.00,15.00
53,HNWP 12509,Qinghai,96.52133000000,32.20742700000,RW,4055.18,231.43,6103.88,11.00,0.00,38.70,13.00,4.88,115.26,6.83,15467.40,0.46,2.33,305405.00,7961.00,2251.00,39130.00,55760.00,8941.00,2633.00,162.00,4313.00,33514.00,9558.00,872.00,52.00,767950.00,121.53,268.00,160.35,8.28,263.27,0.00,0.00,0.00,0.00,0.00,67.52,32.48,0.00,0.00,0.00,0.00,0.00,5683.05,265662.00,9056.95,2108.15,25592.40,9390.50,17.00,99.00,320.00,6852.00,159.00,-149.00,308.00,107.00,-62.00,111.00,-79.00,497.00,111.00,2.00,97.00,303.00,8.00,8.00,9.00
80,Chen0018,Qinghai,96.39968333330,32.19863611110,RW,4000.49,55.56,6074.24,9.00,0.00,32.61,13.00,6.14,129.54,6.30,15535.80,0.47,2.19,223615.00,7742.00,1825.00,35466.00,55615.00,9058.00,2631.00,192.00,3883.00,32808.00,9529.00,757.00,53.00,605779.00,112.81,171.00,158.44,8.30,234.39,0.00,0.00,0.00,0.00,0.00,52.14,47.86,0.00,0.00,0.00,0.00,0.00,5694.36,267074.00,9106.42,2108.71,25644.00,9368.32,20.00,99.00,320.00,6857.00,162.00,-148.00,310.00,110.00,-59.00,114.00,-77.00,359.00,84.00,1.00,104.00,242.00,5.00,5.00,5.00
81,Chen0019,Qinghai,96.40510833330,32.07717500000,RW,4444.57,110.68,6807.29,9.00,0.00,32.61,13.00,6.14,129.54,6.30,15287.20,0.42,2.71,294495.00,7716.00,1942.00,36815.00,54719.00,8669.00,2833.00,187.00,4469.00,32527.00,9513.00,813.00,57.00,652231.00,140.17,171.00,145.95,7.55,285.48,0.00,0.00,0.00,0.00,0.00,62.18,30.35,0.00,0.00,7.47,0.00,0.00,5694.36,267074.00,9106.42,2108.71,25644.00,9368.32,2.00,98.00,316.00,6901.00,144.00,-164.00,308.00,93.00,-77.00,97.00,-94.00,609.00,135.00,2.00,102.00,393.00,10.00,10.00,10.00
94,HNWP 65899,Sichuan,99.73526000000,32.20786300000,RW,4028.52,27.46,7426.36,10.00,0.10,38.66,13.00,6.82,132.98,5.80,14170.70,0.45,2.49,93104.00,8219.00,913.00,22414.00,49876.00,9202.00,3735.00,353.00,2412.00,29486.00,9396.00,519.00,96.00,263591.00,122.58,197.00,169.26,8.07,291.16,0.00,0.00,0.00,0.00,0.00,65.21,34.79,0.00,0.00,0.00,0.00,0.00,5521.09,257367.00,8779.17,2025.37,24760.80,9045.47,13.00,104.00,329.00,7057.00,153.00,-163.00,316.00,104.00,-79.00,105.00,-89.00,440.00,95.00,2.00,96.00,280.00,7.00,7.00,7.00
116,Zhang12,Sichuan,100.42972222200,32.14444444440,RW,3981.23,175.46,7967.87,13.00,0.37,33.50,13.00,7.27,145.09,5.63,13897.30,0.46,2.53,175905.00,7218.00,1006.00,28189.00,51134.00,8936.00,3424.00,272.00,3002.00,29533.00,9353.00,540.00,91.00,308979.00,119.67,340.00,167.01,8.20,268.78,0.00,0.00,0.00,0.00,0.00,54.86,45.14,0.00,0.00,0.00,0.00,0.00,5581.49,260749.00,8867.02,2021.47,25067.30,9117.93,18.00,102.00,333.00,6811.00,153.00,-153.00,306.00,106.00,-80.00,107.00,-80.00,517.00,109.00,3.00,93.00,323.00,10.00,10.00,10.00
