,,,,,,TP,TP,AI,RH,PP,PET,PV,SC,SM,SP,SR,WV,WS,HH,HH,HH,HH,HH,HH,HH,HH,HH,HH,HH,HH,HH,HH,GD,GD,GD,GD,GD,LULC ,LULC ,LULC ,LULC ,LULC ,LULC ,LULC ,LULC ,LULC ,LULC ,LULC ,LULC ,UVB,UVB,UVB,UVB,UVB,UVB,CLIM,CLIM,CLIM,CLIM,CLIM,CLIM,CLIM,CLIM,CLIM,CLIM,CLIM,CLIM,CLIM,CLIM,CLIM,CLIM,CLIM,CLIM,CLIM
SN,barcode,Province,long,lat,colour,Elevation (m),Aspect (degree),Annual aridity (ratio),Annual Relative Humidity (%),Net primary productivity (kg-carbon/m²/year),Potential evapotranspiration (mm),Potential vegetation (15 biomes categories),Soil carbon (Kg-Carbon/m² to 1 m depth),Soil moisture (mm based on 150 mm water holding capacity),Soil pH (acidity-alkaline level),Annual solar radiation (kJ/m²/day),Annual water vapour (kPa),Annual wind speed (m/s),"Contrast (exponentially weighted difference in EVI between adjacent pixels, x ?0)","Correlation (linear dependency of EVI on adjacent pixels, 1? x ?-1)","Coefficient of variation (normalized dispersion of EVI, x ?0)",Dissimilarity, Entrophy,"Evenness (evenness of EVI, 1? x ?0)","Homogeneity (similarity of EVI between adjacent pixels, 1? x ?0)","Maximum (dominance of EVI combinations between adjacent pixels, 1? x ?0)","Range (Range of EVI, x ?0)",Shannon index,Simpson index,Standard deviation,"Uniformity (orderliness of EVI, 1? x ?0)­­­","Variance (Dispersion of EVI combinations between adjacent pixels, x ?0)",First day of growing season (Julian day),Growing degree days (°C based on 5-degree base temperature),Growing season length (number of days),Growing season temperature (°C/10),Last day of growing season (Julian day),Evergreen/deciduous Needleleaf trees (Lulc1),Evergreen broadleaf trees (LULC2),Deciduous Broadleaf Trees (LULC3),Mixed/other trees (LULC4),Shrubs (LULC5),Herbaceous vegetation (LULC6),Cultivated and managed vegetation (LULC7),Regularly Flooded Vegetation (LULC8),Urban/Built-up (LULC9),Snow/Ice (LULC10),Barren (LULC11),Barren (LULC12),Annual mean UV-B (J/m²/day),UV-B seasonality (J/m²/day),Mean UV-B of highest month (J/m²/day),Mean UV-B of lowest month (J/m²/day),Sum of monthly mean UV-B during highest quarter,Sum of monthly mean UV-B during lowest quarter,bio1,bio2,bio3,bio4,bio5,bio6,bio7,bio8,bio9,bio10,bio11,bio12,bio13,bio14,bio15,bio16,bio17,bio18,bio19
35,HBNU10014845,Hebei,114.57568600000,41.29347900000,RW,1369.77,44.74,4348.22,29.00,0.15,47.00,10.00,7.57,10.61,7.44,15740.70,0.54,3.57,158029.00,5960.00,1401.00,27371.00,49309.00,8302.00,3491.00,303.00,2968.00,27962.00,9223.00,442.00,107.00,196134.00,96.06,1554.00,90.42,14.74,106.27,0.00,0.00,0.00,0.00,0.00,52.00,48.00,0.00,0.00,0.00,0.00,0.00,2561.90,160239.00,4824.63,544.04,12868.30,3233.37,42.00,106.00,234.00,11934.00,257.00,-196.00,453.00,196.00,-133.00,196.00,-133.00,375.00,106.00,2.00,105.00,275.00,7.00,7.00,7.00
36,PE 01059135,Hebei,114.63379400000,41.17455200000,RW,1409.42,32.23,4493.85,29.00,0.15,47.00,10.00,7.57,10.61,7.44,15584.00,0.54,3.57,304022.00,6941.00,2011.00,38166.00,54596.00,9029.00,2781.00,202.00,3652.00,31636.00,9473.00,695.00,63.00,526175.00,96.02,1554.00,88.17,14.63,104.86,0.00,0.00,0.00,0.00,0.00,49.57,50.43,0.00,0.00,0.00,0.00,0.00,2562.18,156314.00,4685.87,566.57,12765.00,3298.79,42.00,106.00,236.00,11808.00,253.00,-196.00,449.00,193.00,-132.00,193.00,-132.00,359.00,103.00,2.00,107.00,266.00,6.00,6.00,6.00
41,HBNU10014848,Hebei,115.70530400000,41.31591700000,RW,1402.55,255.00,4930.54,35.00,0.11,45.78,5.00,5.83,17.04,6.94,15468.10,0.57,3.45,180613.00,8188.00,1805.00,31048.00,54013.00,9248.00,3085.00,221.00,3367.00,32234.00,9519.00,737.00,65.00,553255.00,97.32,1671.00,136.01,13.85,131.24,0.00,0.00,0.00,1.62,0.00,46.50,52.42,0.00,0.00,0.00,0.00,0.00,2501.23,154673.00,4675.40,524.31,12360.90,3184.02,40.00,101.00,230.00,11688.00,246.00,-194.00,439.00,185.00,-132.00,189.00,-132.00,415.00,117.00,2.00,109.00,307.00,7.00,7.00,7.00
45,PE 02031875,Hebei,118.44338888900,41.30485277780,RW,1252.08,123.27,7257.02,33.00,0.45,53.87,5.00,3.76,31.26,7.53,15565.90,0.65,3.17,128589.00,7450.00,1051.00,27090.00,51630.00,9099.00,3169.00,213.00,2611.00,29836.00,9384.00,548.00,80.00,316648.00,99.59,1689.00,163.48,13.52,205.45,12.23,0.00,26.73,39.25,0.00,3.46,19.09,0.00,0.00,0.00,0.00,0.00,2448.13,144945.00,4248.44,575.83,12190.90,3193.14,40.00,96.00,226.00,11294.00,238.00,-186.00,423.00,184.00,-125.00,184.00,-125.00,575.00,172.00,2.00,114.00,444.00,7.00,7.00,7.00
166,PE 01059069,Inner Mongolia,111.47157700000,40.99292100000,RW,1722.66,109.74,4290.37,39.00,0.28,51.01,10.00,6.94,17.51,7.37,16085.60,0.50,3.68,138561.00,6582.00,1359.00,26733.00,49891.00,8889.00,3419.00,265.00,2421.00,28521.00,9312.00,463.00,96.00,207709.00,100.94,1926.00,97.26,13.50,118.15,0.00,0.00,0.00,0.00,0.00,45.24,50.23,0.00,0.00,0.00,5.10,0.00,2648.47,163286.00,4955.46,589.28,13170.00,3406.13,34.00,110.00,240.00,11816.00,252.00,-206.00,458.00,180.00,-139.00,188.00,-139.00,359.00,100.00,2.00,106.00,290.00,7.00,7.00,7.00
175,Zhang2,Inner Mongolia,110.17972222200,40.71305555560,RW,1382.96,118.48,3580.39,46.00,0.12,46.71,10.00,5.67,10.13,7.28,16431.90,0.56,3.09,66086.00,6146.00,1386.00,16861.00,40156.00,7627.00,4782.00,727.00,2035.00,22413.00,8619.00,293.00,305.00,86689.00,88.37,2007.00,72.68,15.86,95.83,0.00,0.00,0.00,0.00,0.39,48.58,7.78,0.00,0.00,0.00,42.95,0.00,2737.20,168916.00,5069.75,629.25,13681.40,3543.31,61.00,114.00,245.00,11972.00,282.00,-184.00,466.00,207.00,-115.00,217.00,-115.00,303.00,84.00,1.00,109.00,247.00,5.00,5.00,5.00
176,Zhang3,Inner Mongolia,111.75277777800,40.91777777780,RW,1125.56,167.27,3856.58,40.00,0.28,51.83,5.00,6.85,21.02,7.37,16332.10,0.59,2.93,440402.00,7550.00,2837.00,47327.00,59002.00,9685.00,2359.00,148.00,3890.00,35690.00,9693.00,968.00,35.00,923178.00,84.66,1981.00,83.42,16.74,91.25,0.00,0.00,0.00,0.02,0.52,51.32,48.14,0.00,0.00,0.00,0.00,0.00,2618.31,159372.00,4778.42,588.45,12939.40,3435.81,70.00,109.00,235.00,12092.00,289.00,-176.00,465.00,217.00,-109.00,225.00,-109.00,356.00,104.00,1.00,113.00,300.00,5.00,5.00,5.00
37,HBNU10014846,Hebei,114.67606500000,40.64040000000,RW,903.94,250.11,3927.74,35.00,0.36,57.66,10.00,6.00,8.16,6.95,15790.60,0.66,2.89,224613.00,7245.00,2109.00,30697.00,49812.00,8490.00,3511.00,393.00,3406.00,29197.00,9259.00,666.00,121.00,477473.00,81.41,1947.00,77.15,16.90,88.51,0.08,0.00,0.00,0.00,0.00,47.50,52.33,0.00,0.00,0.00,0.00,0.00,2590.11,155533.00,4856.39,608.96,12656.70,3379.53,75.00,106.00,238.00,11587.00,281.00,-163.00,444.00,223.00,-96.00,223.00,-96.00,321.00,81.00,2.00,96.00,212.00,7.00,7.00,7.00
39,HBNU10018712,Hebei,115.09689300000,40.37388200000,RW,663.15,130.47,3868.87,33.00,0.22,52.30,10.00,4.96,44.20,7.16,15639.80,0.74,2.65,376011.00,7120.00,2064.00,43366.00,56327.00,9112.00,2506.00,152.00,4010.00,33311.00,9561.00,802.00,52.00,634201.00,73.09,1785.00,73.97,18.89,76.16,0.07,0.00,0.00,0.00,0.00,34.36,65.57,0.00,0.00,0.00,0.00,0.00,2607.30,153873.00,4737.09,627.27,12722.90,3505.13,93.00,103.00,238.00,11382.00,292.00,-141.00,433.00,233.00,-75.00,238.00,-75.00,299.00,82.00,1.00,105.00,217.00,5.00,5.00,5.00
40,PE 01059175,Hebei,115.42854300000,40.49970300000,RW,904.89,181.46,4319.64,30.00,0.22,52.30,10.00,4.96,44.20,7.16,15598.50,0.69,2.87,212229.00,7831.00,2144.00,33553.00,55560.00,9341.00,2803.00,151.00,3302.00,32871.00,9574.00,723.00,50.00,508443.00,82.26,1785.00,147.65,15.96,99.84,19.73,0.00,0.00,3.96,0.00,32.39,44.63,0.00,0.00,0.00,0.00,0.00,2606.84,155011.00,4660.97,624.23,12831.10,3396.86,72.00,102.00,238.00,11251.00,269.00,-157.00,427.00,211.00,-94.00,215.00,-94.00,453.00,136.00,2.00,118.00,365.00,6.00,6.00,6.00
